Chart Type,Input Percent,Actual Percent,Error
Tree Map,50,62,3.599913
Tree Map,50,65,3.918863
Pie Chart,90,94,2.044394
Tree Map,50,54,2.044394
Bar Chart,40,36,2.044394
Pie Chart,80,86,2.61471
Tree Map,70,78,3.022368
Bar Chart,70,74,2.044394
Bar Chart,70,70,0
Bar Chart,50,56,2.61471
Bar Chart,40,40,0
Bar Chart,50,48,1.087463
Bar Chart,60,64,2.044394
Bar Chart,50,45,2.357552
Tree Map,40,39,0.169925
Pie Chart,70,61,3.189825
Pie Chart,80,75,2.357552
Tree Map,60,57,1.643856
Pie Chart,80,80,0
Bar Chart,95,97,1.087463
Pie Chart,30,29,0.169925
Tree Map,70,93,4.531381
Pie Chart,80,77,1.643856
Bar Chart,60,77,4.098032
Pie Chart,100,91,3.189825
Tree Map,90,77,3.714246
Tree Map,90,82,3.022368
Tree Map,90,87,1.643856
Tree Map,70,74,2.044394
Tree Map,50,49,0.169925
