trialNum,Vis Type,Reported Percent,True Percent,Error
8,Stack Chart,60,55,2.357552005
9,Pie Chart,33,35,1.087462841
10,Stack Chart,22,20,1.087462841
11,Stack Chart,15,18,1.64385619
12,Pie Chart,90,91,0.169925001
13,Pie Chart,51,55,2.044394119
14,Bar Chart,45,42,1.64385619
15,Pie Chart,13,9,2.044394119
16,Bar Chart,5,3,1.087462841
17,Stack Chart,5,6,0.169925001
18,Pie Chart,80,79,0.169925001
19,Pie Chart,33,31,1.087462841
20,Bar Chart,100,100,0
21,Donut Chart,16,17,0.169925001
22,Stack Chart,33,34,0.169925001
23,Bar Chart,35,37,1.087462841
24,Bar Chart,80,81,0.169925001
25,Pie Chart,33,34,0.169925001
26,Donut Chart,50,53,1.64385619
27,Stack Chart,85,83,1.087462841
28,Bar Chart,5,5,0
29,Pie Chart,15,14,0.169925001
30,Stack Chart,60,61,0.169925001
31,Pie Chart,57,47,3.339850003
32,Stack Chart,33,41,3.022367813
33,Stack Chart,100,90,3.339850003
34,Donut Chart,50,61,3.475733431
35,Donut Chart,67,75,3.022367813
36,Bar Chart,60,62,1.087462841
37,Pie Chart,33,31,1.087462841
38,Stack Chart,100,94,2.614709844
39,Bar Chart,30,29,0.169925001
40,Stack Chart,25,33,3.022367813
41,Bar Chart,90,95,2.357552005
42,Donut Chart,85,86,0.169925001
43,Stack Chart,20,14,2.614709844
44,Stack Chart,5,5,0
45,Stack Chart,5,3,1.087462841
46,Donut Chart,75,81,2.614709844
47,Bar Chart,80,80,0
48,Stack Chart,50,42,3.022367813
49,Stack Chart,60,54,2.614709844
50,Stack Chart,90,95,2.357552005
51,Donut Chart,60,69,3.189824559
52,Bar Chart,50,43,2.832890014
53,Donut Chart,45,50,2.357552005
54,Pie Chart,30,23,2.832890014
55,Stack Chart,60,66,2.614709844
56,Pie Chart,12,12,0
57,Bar Chart,25,23,1.087462841
58,Donut Chart,2,1,0.169925001
59,Donut Chart,100,98,1.087462841
60,Bar Chart,20,24,2.044394119
61,Bar Chart,35,39,2.044394119
62,Bar Chart,33,34,0.169925001
63,Pie Chart,40,42,1.087462841
64,Donut Chart,25,21,2.044394119
65,Bar Chart,60,56,2.044394119
66,Bar Chart,80,81,0.169925001
67,Bar Chart,70,73,1.64385619
68,Donut Chart,34,32,1.087462841
69,Pie Chart,85,74,3.475733431
70,Donut Chart,25,27,1.087462841
71,Pie Chart,95,92,1.64385619
72,Donut Chart,55,61,2.614709844
73,Donut Chart,95,100,2.357552005
74,Donut Chart,62,63,0.169925001
75,Pie Chart,33,39,2.614709844
76,Pie Chart,70,66,2.044394119
77,Donut Chart,25,28,1.64385619
78,Pie Chart,99,95,2.044394119
79,Pie Chart,33,37,2.044394119
80,Pie Chart,80,80,0
1,Bar Chart,90,88,1.087462841
2,Stack Chart,20,15,2.357552005
3,Donut Chart,66,60,2.614709844
4,Pie Chart,90,73,4.098032083
5,Stack Chart,99,91,3.022367813
6,Stack Chart,25,41,4.011227255
7,Pie Chart,89,87,1.087462841
8,Donut Chart,66,70,2.044394119
9,Stack Chart,33,41,3.022367813
10,Donut Chart,66,56,3.339850003
11,Donut Chart,10,6,2.044394119
12,Bar Chart,55,52,1.64385619
13,Donut Chart,99,91,3.022367813
14,Pie Chart,89,77,3.599912842
15,Stack Chart,50,55,2.357552005
16,Stack Chart,45,47,1.087462841
17,Bar Chart,66,64,1.087462841
18,Stack Chart,10,1,3.189824559
19,Donut Chart,15,9,2.614709844
20,Donut Chart,91,64,4.761551232
21,Stack Chart,99,97,1.087462841
22,Pie Chart,99,96,1.64385619
23,Bar Chart,33,32,0.169925001
24,Donut Chart,66,60,2.614709844
25,Donut Chart,90,94,2.044394119
26,Bar Chart,15,14,0.169925001
27,Stack Chart,66,65,0.169925001
28,Bar Chart,75,79,2.044394119
29,Pie Chart,45,40,2.357552005
30,Stack Chart,55,63,3.022367813
31,Pie Chart,78,56,4.46760555
32,Pie Chart,43,40,1.64385619
33,Donut Chart,99,96,1.64385619
34,Pie Chart,10,8,1.087462841
35,Bar Chart,100,100,0
36,Stack Chart,15,10,2.357552005
37,Stack Chart,80,72,3.022367813
38,Bar Chart,59,60,0.169925001
39,Stack Chart,20,20,0
40,Stack Chart,30,42,3.599912842
41,Pie Chart,45,35,3.339850003
42,Stack Chart,6,6,0
43,Stack Chart,39,40,0.169925001
44,Bar Chart,33,36,1.64385619
45,Stack Chart,33,54,4.400879436
46,Stack Chart,5,2,1.64385619
47,Donut Chart,16,17,0.169925001
48,Bar Chart,5,1,2.044394119
49,Stack Chart,16,17,0.169925001
50,Donut Chart,28,31,1.64385619
51,Pie Chart,23,28,2.357552005
52,Donut Chart,67,76,3.189824559
53,Bar Chart,95,91,2.044394119
54,Pie Chart,33,34,0.169925001
55,Stack Chart,90,100,3.339850003
56,Donut Chart,55,59,2.044394119
57,Pie Chart,97,93,2.044394119
58,Donut Chart,98,91,2.832890014
59,Bar Chart,48,44,2.044394119
60,Pie Chart,92,69,4.531381461
61,Donut Chart,90,86,2.044394119
62,Bar Chart,20,18,1.087462841
63,Donut Chart,87,76,3.475733431
64,Donut Chart,55,58,1.64385619
65,Pie Chart,28,33,2.357552005
66,Pie Chart,20,17,1.64385619
67,Bar Chart,10,8,1.087462841
68,Donut Chart,80,80,0
69,Bar Chart,97,95,1.087462841
70,Donut Chart,81,64,4.098032083
71,Pie Chart,10,6,2.044394119
72,Bar Chart,89,85,2.044394119
73,Bar Chart,10,5,2.357552005
74,Pie Chart,45,38,2.832890014
75,Pie Chart,11,14,1.64385619
76,Bar Chart,4,1,1.64385619
77,Bar Chart,87,76,3.475733431
78,Bar Chart,5,4,0.169925001
79,Pie Chart,96,85,3.475733431
80,Pie Chart,90,82,3.022367813
1,Donut Chart,33,38,2.357552005
2,Bar Chart,30,34,2.044394119
3,Pie Chart,5,6,0.169925001
4,Stack Chart,5,5,0
5,Bar Chart,40,46,2.614709844
6,Donut Chart,10,16,2.614709844
7,Stack Chart,66,73,2.832890014
8,Pie Chart,50,48,1.087462841
9,Stack Chart,20,20,0
10,Bar Chart,20,32,3.599912842
11,Pie Chart,100,84,4.011227255
12,Pie Chart,5,8,1.64385619
13,Pie Chart,90,88,1.087462841
14,Bar Chart,20,23,1.64385619
15,Stack Chart,5,6,0.169925001
16,Stack Chart,60,61,0.169925001
17,Bar Chart,8,9,0.169925001
18,Donut Chart,66,69,1.64385619
19,Donut Chart,90,75,3.918863237
20,Stack Chart,85,95,3.339850003
21,Donut Chart,90,89,0.169925001
22,Donut Chart,66,66,0
23,Donut Chart,5,11,2.614709844
24,Bar Chart,40,52,3.599912842
25,Donut Chart,80,81,0.169925001
26,Stack Chart,50,64,3.820178962
27,Pie Chart,55,68,3.714245518
28,Pie Chart,50,52,1.087462841
29,Donut Chart,40,51,3.475733431
30,Stack Chart,2,2,0
31,Pie Chart,55,48,2.832890014
32,Bar Chart,25,40,3.918863237
33,Pie Chart,8,13,2.357552005
34,Donut Chart,15,22,2.832890014
35,Donut Chart,66,73,2.832890014
36,Pie Chart,75,63,3.599912842
37,Stack Chart,15,14,0.169925001
38,Pie Chart,5,6,0.169925001
39,Stack Chart,55,43,3.599912842
40,Pie Chart,40,75,5.13442632
41,Stack Chart,25,27,1.087462841
42,Bar Chart,30,28,1.087462841
43,Stack Chart,60,74,3.820178962
44,Pie Chart,50,56,2.614709844
45,Bar Chart,50,48,1.087462841
46,Stack Chart,100,96,2.044394119
47,Pie Chart,20,24,2.044394119
48,Pie Chart,66,60,2.614709844
49,Pie Chart,66,76,3.339850003
50,Pie Chart,2,2,0
51,Donut Chart,50,61,3.475733431
52,Bar Chart,72,73,0.169925001
53,Donut Chart,75,73,1.087462841
54,Donut Chart,10,12,1.087462841
55,Pie Chart,30,28,1.087462841
56,Bar Chart,46,44,1.087462841
57,Pie Chart,10,9,0.169925001
58,Pie Chart,66,58,3.022367813
59,Bar Chart,50,28,4.46760555
60,Bar Chart,90,92,1.087462841
61,Stack Chart,20,23,1.64385619
62,Bar Chart,6,1,2.357552005
63,Stack Chart,90,97,2.832890014
64,Bar Chart,25,21,2.044394119
65,Stack Chart,15,16,0.169925001
66,Bar Chart,20,17,1.64385619
67,Stack Chart,45,45,0
68,Stack Chart,50,44,2.614709844
69,Donut Chart,20,21,0.169925001
70,Stack Chart,33,35,1.087462841
71,Bar Chart,33,35,1.087462841
72,Stack Chart,20,20,0
73,Donut Chart,25,34,3.189824559
74,Donut Chart,95,92,1.64385619
75,Bar Chart,15,16,0.169925001
76,Donut Chart,40,45,2.357552005
77,Donut Chart,5,5,0
78,Bar Chart,80,82,1.087462841
79,Donut Chart,20,35,3.918863237
